Results
Func;                 bisect;                 brentq;                 brenth;                 ridder;                 chandr;                  modAB
 f01;      3;     10;      9;      4;      3;      6;
 f02;     49;     13;     12;     16;     11;     13;
 f03;     49;     12;     11;     14;     12;     13; 
 f04;     50;     10;     10;     12;      9;     11;
 f05;     49;      8;      8;     14;      9;     10;
 f06;     49;     10;     10;     12;     10;     12;
 f07;     49;     12;     12;     12;     11;     13; 
 f08;     49;     12;     12;     12;     12;     14;
 f09;     49;     10;     10;     16;     10;     12;
 f10;     49;     10;      9;     16;     10;     10;
 f11;     49;      9;      9;     16;     10;     10;
 f12;     49;      9;     10;     14;      9;     12;
 f13;     49;     10;     11;     16;     11;     12;
 f14;     49;     13;     12;     16;     13;     13; 
 f15;     49;      8;      8;     12;      8;      9;
 f16;     49;      7;      7;     12;      8;      8;
 f17;     49;      7;      7;     14;      8;      8;
 f18;     49;      9;      9;     14;     11;     11; 
 f19;     49;      9;     12;     16;     13;     13;
 f20;     49;     13;     14;     16;     14;     13;
 f21;     49;     11;     10;     12;      9;     12;
 f22;     49;     10;     10;     12;     10;     10;
 f23;     49;     10;     10;     12;     10;     10;
 f24;     50;    102;    102;     80;     50;     50; 
 f25;     50;    102;    102;     76;     50;     50;
 f26;     50;    102;    102;     80;     55;     50; 
 f27;     14;     32;     33;     24;     14;     20;
 f28;     48;    102;    102;     78;     56;     50; 
 f29;     12;     30;     32;     18;     12;     50;
 f30;     49;     14;     13;     16;     13;     14;
 f31;     51;     12;      7;     16;     13;     14;
 f32;     49;     13;     10;     16;     12;     13; 
 f33;     51;     15;     14;     18;     12;     13;
 f34;     53;     10;      9;     16;     10;     11;
 f35;     53;     11;     15;     24;     16;     18;
 f36;     53;     45;     45;     54;     53;     50; 
 f37;     53;     31;     32;     24;     17;     18;
 f38;     53;     53;     53;     56;     53;     50;
 f39;     53;     83;     83;     94;     53;     50; 
 f40;     53;     56;     56;     70;     53;     50; 
 f41;     52;     13;     13;     14;     13;     15;
 f42;     51;     10;     10;     18;     11;     13;
 f43;     50;    102;    102;     82;     50;     50; 
 f44;     50;    102;    102;     74;     50;     50; 
 f45;     50;    102;    102;     82;     50;     50; 
 f46;     48;     15;     15;     14;     14;     15;
 f47;     48;     16;     14;     18;     15;     16;
 f48;     48;     16;     14;     18;     17;     19;
 f49;     50;     11;     10;     12;     10;     12; 
 f50;     51;     12;     11;     14;     10;     13;
 f51;     51;     10;      9;     14;      9;     12;
 f52;     52;     17;     16;     18;     15;     15;
 f53;     50;     14;     13;     18;     12;     13;
 f54;     49;      8;      8;     12;      7;     10;
 f55;     49;     11;     10;      4;      9;     11;
 f56;     49;     11;     10;     14;      9;     11;
 f57;     49;     12;     12;     14;     11;     13;
 f58;     52;     10;      9;     12;     10;     12;
 f59;     50;     13;     13;     12;      9;     12;
 f60;     50;      8;      8;     14;      8;      9;
 f61;     50;     11;     11;     18;     11;     12; 
 f62;     49;      9;      9;     14;      9;     10;
 f63;     50;     10;     10;     10;     10;     11;
 f64;     50;      9;      9;     12;      9;     10;
 f65;     50;      8;      8;     16;      9;     10;
 f66;     50;     11;     12;     16;     13;     13;
 f67;     50;     12;     10;     12;     12;     14;
 f68;     50;      8;      8;     10;      9;     10;
 f69;     50;     10;      9;     12;     10;     11;
 f70;     50;     11;     11;     16;     13;     12;
 f71;     50;     13;      6;     16;     11;     11;
 f72;     50;    102;    102;     86;     56;     50;
 f73;     50;    102;    102;     86;     55;     50; 
 f74;     50;    102;    102;     82;     50;     50; 
 f75;     27;     66;     66;     38;     27;     50;
 f76;     50;     50;     50;     52;     50;     50; 
 f77;     50;     53;     53;     72;     50;     50; 
 f78;     50;     51;     51;     38;     50;     50; 
 f79;     50;     47;     47;     36;     47;     15; 
 f80;     50;     22;     22;     28;     29;     25; 
 f81;     50;     52;     45;     38;     58;     20; 
 f82;     50;      4;      4;      6;      5;      5;
 f83;     50;    102;    102;     68;     58;     50;
 f84;     51;      8;      9;     20;     14;      8;
 f85;     53;     13;     12;     20;     15;     11;
 f86;     51;     16;     16;     20;     13;     14;
 f87;     49;     12;      6;     16;     11;      8;
 f88;     51;     13;     12;     14;     13;     14; 
 f89;      2;      2;      2;      2;      2;      3;
 f90;     51;     15;     14;     18;     12;     14;
 f91;     49;     13;     13;     14;     11;     13;
 SUM;   4359;   2515;   2476;   2454;   1854;   1871;
